year,title
1996,One-unit Learning Rules for Independent Component Analysis
1996,Recursive Algorithms for Approximating Probabilities in Graphical Models
1996,Exploiting Model Uncertainty Estimates for Safe Dynamic Control Learning
1996,Triangulation by Continuous Embedding
1996,Cholinergic Modulation Preserves Spike Timing Under Physiologically Realistic Fluctuating Input
1988,Theory of Self-Organization of Cortical Maps
1996,An Orientation Selective Neural Network for Pattern Identification in Particle Detectors
1996,Edges are the 'Independent Components' of Natural Scenes.
1996,A Spike Based Learning Neuron in Analog VLSI
1996,NeuroScale: Novel Topographic Feature Extraction using RBF Networks
1996,Probabilistic Interpretation of Population Codes
1996,Combinations of Weak Classifiers
1996,Estimating Equivalent Kernels for Neural Networks: A Data Perturbation Approach
1996,"Compositionality, MDL Priors, and Object Recognition"
1996,MIMIC: Finding Optima by Estimating Probability Densities
1996,ARTEX: A Self-organizing Architecture for Classifying Image Regions
1988,A Back-Propagation Algorithm with Optimal Use of Hidden Units
1996,Orientation Contrast Sensitivity from Long-range Interactions in Visual Cortex
1997,Recovering Perspective Pose with a Dual Step EM Algorithm
1997,Mapping a Manifold of Perceptual Observations
1997,The Efficiency and the Robustness of Natural Gradient Descent Learning Rule
1997,Features as Sufficient Statistics
1997,Training Methods for Adaptive Boosting of Neural Networks
1997,Minimax and Hamiltonian Dynamics of Excitatory-Inhibitory Networks
1997,Analog VLSI Model of Intersegmental Coordination with Nearest-Neighbor Coupling
1997,Dynamic Stochastic Synapses as Computational Units
1997,Modeling Acoustic Correlations by Factor Analysis
1988,Efficient Parallel Learning Algorithms for Neural Networks
1997,Generalization in Decision Trees and DNF: Does Size Matter?
1997,Nonlinear Markov Networks for Continuous Variables
1997,Multiplicative Updating Rule for Blind Separation Derived from the Method of Scoring
1997,Extended ICA Removes Artifacts from Electroencephalographic Recordings
1997,Analytical Study of the Interplay between Architecture and Predictability
1997,Multi-modular Associative Memory
1997,A Framework for Multiple-Instance Learning
1997,Incorporating Test Inputs into Learning
1997,A Solution for Missing Data in Recurrent Neural Networks with an Application to Blood Glucose Prediction
1997,Learning to Schedule Straight-Line Code
1988,A Connectionist Expert System that Actually Works
1997,Analysis of Drifting Dynamics with Neural Network Hidden Markov Models
1997,2D Observers for Human 3D Object Recognition?
1997,A Simple and Fast Neural Network Approach to Stereovision
1997,Stacked Density Estimation
1997,Phase Transitions and the Perceptual Organization of Video Sequences
1997,A Neural Network Model of Naive Preference and Filial Imprinting in the Domestic Chick
1997,On Parallel versus Serial Processing: A Computational Study of Visual Search
1997,The Canonical Distortion Measure in Feature Space and 1-NN Classification
1997,Monotonic Networks
1997,Data-Dependent Structural Risk Minimization for Perceptron Decision Trees
1988,Automatic Local Annealing
1997,Silicon Retina with Adaptive Filtering Properties
1997,Recurrent Neural Networks Can Learn to Implement Symbol-Sensitive Counting
1997,Multi-time Models for Temporally Abstract Planning
1997,Active Data Clustering
1997,An Analog VLSI Neural Network for Phase-based Machine Vision
1997,Toward a Single-Cell Account for Binocular Disparity Tuning: An Energy Model May Be Hiding in Your Dendrites
1997,Blind Separation of Radio Signals in Fading Channels
1997,An Analog VLSI Model of the Fly Elementary Motion Detector
1997,Computing with Action Potentials
1997,Learning Continuous Attractors in Recurrent Networks
1988,An Electronic Photoreceptor Sensitive to Small Changes in Intensity
1997,MELONET I: Neural Nets for Inventing Baroque-Style Chorale Variations
1997,Detection of First and Second Order Motion
1997,From Regularization Operators to Support Vector Kernels
1997,Globally Optimal On-line Learning Rules
1997,Just One View: Invariances in Inferotemporal Cell Tuning
1997,Classification by Pairwise Coupling
1997,Agnostic Classification of Markovian Sequences
1997,Bidirectional Retrieval from Associative Memory
1997,Using Expectation to Guide Processing: A Study of Three Real-World Applications
1997,Shared Context Probabilistic Transducers
1988,Modeling the Olfactory Bulb - Coupled Nonlinear Oscillators
1997,Estimating Dependency Structure as a Hidden Variable
1997,Hippocampal Model of Rat Spatial Abilities Using Temporal Difference Learning
1997,Reinforcement Learning for Call Admission Control and Routing in Integrated Service Networks
1997,The Asymptotic Convergence-Rate of Q-learning
1997,Reinforcement Learning with Hierarchies of Machines
1997,The Observer-Observation Dilemma in Neuro-Forecasting
1997,Automated Aircraft Recovery via Reinforcement Learning: Initial Experiments
1997,Local Dimensionality Reduction
1997,On Efficient Heuristic Ranking of Hypotheses
1997,Serial Order in Reading Aloud: Connectionist Models and Neighborhood Structure
1988,An Optimality Principle for Unsupervised Learning
1997,On-line Learning from Finite Training Sets in Nonlinear Networks
1997,Effects of Spike Timing Underlying Binocular Integration and Rivalry in a Neural Model of Early Visual Cortex
1997,Approximating Posterior Distributions in Belief Networks Using Mixtures
1997,Comparison of Human and Machine Word Recognition
1997,Combining Classifiers Using Correspondence Analysis
1997,"A 1, 000-Neuron System with One Million 7-bit Physical Interconnections"
1997,Multiple Threshold Neural Logic
1997,Function Approximation with the Sweeping Hinge Algorithm
1997,EM Algorithms for PCA and SPCA
1997,Task and Spatial Frequency Effects on Face Specialization
1987,Encoding Geometric Invariances in Higher-Order Neural Networks
1988,Associative Learning via Inhibitory Search
1997,"Synchronized Auditory and Cognitive 40 Hz Attentional Streams, and the Impact of Rhythmic Expectation on Auditory Scene Analysis"
1997,Coding of Naturalistic Stimuli by Auditory Midbrain Neurons
1997,The Rectified Gaussian Distribution
1997,Modeling Complex Cells in an Awake Macaque during Natural Image Viewing
1997,Reinforcement Learning for Continuous Stochastic Control Problems
1997,Hybrid NN/HMM-Based Speech Recognition with a Discriminant Neural Feature Extraction
1997,Bayesian Robustification for Audio Visual Fusion
1997,Use of a Multi-Layer Perceptron to Predict Malignancy in Ovarian Tumors
1997,New Approximations of Differential Entropy for Independent Component Analysis and Projection Pursuit
1997,Generalized Prioritized Sweeping
