District,First,Last,Party,PVI,Raw PVI,Rank
PA-12,Summer,Lee,D,D+8,D+7.85,143
PA-13,John,Joyce,R,R+25,R+25.12,425
PA-14,Guy,Reschenthaler,R,R+18,R+18.07,381
PA-15,Glenn,Thompson,R,R+21,R+20.79,399
PA-16,Mike,Kelly,R,R+13,R+12.71,321
PA-17,Chris,Deluzio,D,EVEN,D+0.37,209
RI-01,David,Cicilline,D,D+12,D+12.39,112
RI-02,Seth,Magaziner,D,D+4,D+4.24,170
SC-01,Nancy,Mace,R,R+7,R+7.24,264
SC-02,Joe,Wilson,R,R+8,R+8.27,275
SC-03,Jeff,Duncan,R,R+21,R+21.15,401
SC-04,William,Timmons,R,R+12,R+12.22,313
SC-05,Ralph,Norman,R,R+12,R+11.53,309
SC-06,Jim,Clyburn,D,D+14,D+14.33,97
SC-07,Russell,Fry,R,R+11,R+11.48,308
SD-AL,Dusty,Johnson,R,R+16,R+16.05,359
TN-01,Diana,Harshbarger,R,R+30,R+30.06,433
TN-02,Tim,Burchett,R,R+18,R+17.82,377
TN-03,Chuck,Fleischmann,R,R+19,R+18.8,387
TN-04,Scott,DesJarlais,R,R+22,R+21.77,409
TN-05,Andy,Ogles,R,R+9,R+8.56,279
TN-06,John,Rose,R,R+17,R+17.3,372
TN-07,Mark,Green,R,R+10,R+10.05,291
TN-08,David,Kustoff,R,R+21,R+21.23,404
TN-09,Steve,Cohen,D,D+22,D+22.39,53
TX-01,Nathaniel,Moran,R,R+26,R+25.53,427
TX-02,Dan,Crenshaw,R,R+15,R+14.84,348
TX-03,Keith,Self,R,R+11,R+10.92,298
TX-04,Pat,Fallon,R,R+16,R+16.39,364
TX-05,Lance,Gooden,R,R+14,R+14.24,341
TX-06,Jake,Ellzey,R,R+15,R+15.12,351
TX-07,Lizzie,Fletcher,D,D+13,D+13.29,107
TX-08,Morgan,Luttrell,R,R+16,R+16.44,365
TX-09,Al,Green,D,D+26,D+25.68,34
TX-10,Michael,McCaul,R,R+13,R+12.59,319
TX-11,August,Pfluger,R,R+23,R+22.83,417
TX-12,Kay,Granger,R,R+12,R+12.26,314
TX-13,Ronny,Jackson,R,R+26,R+26.05,429
TX-14,Randy,Weber,R,R+17,R+16.52,368
TX-15,Monica,De La Cruz,R,R+1,R+1.36,220
TX-16,Veronica,Escobar,D,D+17,D+17.06,81
TX-17,Pete,Sessions,R,R+14,R+14.32,343
TX-18,Sheila,Jackson Lee,D,D+23,D+23.16,49
TX-19,Jodey,Arrington,R,R+26,R+25.92,428
TX-20,Joaquin,Castro,D,D+15,D+14.88,93
TX-21,Chip,Roy,R,R+13,R+13.16,327
TX-22,Troy,Nehls,R,R+11,R+11.05,300
TX-23,Tony,Gonzales,R,R+5,R+5.27,248
TX-24,Beth,Van Duyne,R,R+10,R+9.81,290
TX-25,Roger,Williams,R,R+19,R+18.66,386
TX-26,Michael,Burgess,R,R+13,R+13.04,325
TX-27,Michael,Cloud,R,R+13,R+13.32,328
TX-28,Henry,Cuellar,D,D+3,D+3.2,183
TX-29,Sylvia,Garcia,D,D+18,D+18.44,73
TX-30,Jasmine,Crockett,D,D+27,D+26.8,28
TX-31,John,Carter,R,R+14,R+13.72,332
TX-32,Colin,Allred,D,D+14,D+14.05,101
TX-33,Marc,Veasey,D,D+24,D+23.68,44
TX-34,Vicente,Gonzalez,D,D+9,D+8.6,137
TX-35,Greg,Casar,D,D+21,D+20.97,60
TX-36,Brian,Babin,R,R+18,R+18.29,382
TX-37,Lloyd,Doggett,D,D+24,D+24.29,41
TX-38,Wesley,Hunt,R,R+12,R+12.38,317
UT-01,Blake,Moore,R,R+12,R+12.3,316
UT-02,Chris,Stewart,R,R+11,R+11.24,304
UT-03,John,Curtis,R,R+13,R+13.08,326
UT-04,Burgess,Owens,R,R+16,R+15.94,357
VT-AL,Becca,Balint,D,D+16,D+15.54,88
VA-01,Rob,Wittman,R,R+6,R+6.34,256
VA-02,Jen,Kiggans,R,R+2,R+2.05,224
VA-03,Bobby,Scott,D,D+17,D+17.04,82
VA-04,Don,McEachin,D,D+16,D+15.75,86
VA-05,Bob,Good,R,R+7,R+6.62,258
VA-06,Ben,Cline,R,R+14,R+13.83,334
VA-07,Abigail,Spanberger,D,D+1,D+0.88,207
VA-08,Don,Beyer,D,D+26,D+26.27,30
VA-09,Morgan,Griffith,R,R+23,R+23.32,419
VA-10,Jennifer,Wexton,D,D+6,D+5.92,159
VA-11,Gerry,Connolly,D,D+18,D+18.29,75
WA-01,Suzan,DelBene,D,D+13,D+13.31,106
WA-02,Rick,Larsen,D,D+9,D+9.29,129
WA-03,Marie,Gluesenkamp Perez,D,R+5,R+4.62,243
WA-04,Dan,Newhouse,R,R+11,R+11.41,306
WA-05,Cathy,McMorris Rodgers,R,R+8,R+7.74,269
WA-06,Derek,Kilmer,D,D+6,D+6.31,155
WA-07,Pramila,Jayapal,D,D+36,D+36.5,7
WA-08,Kim,Schrier,D,D+1,D+1.05,206
WA-09,Adam,Smith,D,D+21,D+21.11,59
WA-10,Marilyn,Strickland,D,D+7,D+6.66,154
WV-01,Carol,Miller,R,R+23,R+23.23,418
WV-02,Alex,Mooney,R,R+22,R+21.52,406
WI-01,Bryan,Steil,R,R+3,R+3.1,232
WI-02,Mark,Pocan,D,D+19,D+18.93,70
WI-03,Derrick,Van Orden,R,R+4,R+4.36,242
WI-04,Gwen,Moore,D,D+25,D+24.76,39
WI-05,Scott,Fitzgerald,R,R+14,R+14.29,342
WI-06,Glenn,Grothman,R,R+10,R+10.24,294
WI-07,Tom,Tiffany,R,R+12,R+12.27,315
WI-08,Mike,Gallagher,R,R+10,R+10.16,293
WY-AL,Harriet,Hageman,R,R+25,R+25.27,426
